"","Age","Age_correct","Price","KM","FuelType","CC","Weight","Fueltype_num"
"16",20,28,6.67879278831691,0.948570315610657,"Petrol",8.10642533632255,15.5478812970123,2
"18",21,24,5.44928775228584,1.09926639488772,"Petrol",7.20571141006449,14.4982353022773,2
"20",24,30,5.1457062619078,3.25785991474392,"Petrol",7.20571141006449,14.4982353022773,2
"21",25,30,4.84212477152976,3.424956910946,"Petrol",7.20571141006449,14.4982353022773,2
"28",25,29,4.78140847345415,2.09643201990583,"Petrol",7.20571141006449,14.6950439262901,2
"29",22,28,5.1457062619078,2.23447307069137,"Petrol",7.20571141006449,14.6950439262901,2
"31",26,29,3.93138030039564,0.493546111169428,"Petrol",6.30499748380643,14.4326324276063,2
"35",27,22,4.70551310085964,2.0754246726099,"Petrol",6.30499748380643,14.4326324276063,2
"38",25,23,4.53854328115172,0.506201139660952,"Petrol",6.30499748380643,14.4326324276063,2
"43",25,22,4.23496179077368,2.3771711719618,"Petrol",6.30499748380643,14.4326324276063,2
"46",24,23,5.76804831718279,4.25208957315199,"Diesel",9.00713926258061,16.6631301664182,1
"47",24,27,5.44928775228584,4.0179715460588,"Diesel",9.00713926258061,16.4663215424054,1
"49",24,22,5.44928775228584,3.65553153006156,"Diesel",9.00713926258061,16.4663215424054,1
"56",25,32,4.02245474750905,2.3146047110997,"Petrol",7.20571141006449,14.1046180542516,2
"63",23,31,5.69215294458828,1.84986144477698,"Petrol",7.20571141006449,14.826249675632,2
"68",25,22,4.53854328115172,1.53885146456929,"Petrol",6.30499748380643,14.5638381769482,2
"71",22,28,4.84212477152976,1.47841104849378,"Petrol",6.30499748380643,14.5638381769482,2
"79",23,29,5.12900927993701,1.1427490727846,"Petrol",7.20571141006449,14.6294410516191,2
"80",27,30,4.52336420663282,1.11364250725409,"Petrol",6.30499748380643,14.5638381769482,2
"84",18,31,5.44928775228584,0.821969410581453,"Petrol",7.20571141006449,15.4822784223413,2
"89",26,19,4.84212477152976,2.62637399301688,"Petrol",6.30499748380643,14.4326324276063,2
"92",25,20,6.75468816091142,1.89825427372857,"Diesel",9.00713926258061,16.5319244170763,1
"93",23,16,6.05645073304193,1.74497656863923,"Diesel",8.98462141442416,16.5319244170763,1
"95",26,20,5.73769016814498,1.61225062982013,"Petrol",7.20571141006449,14.6950439262901,2
"97",21,19,4.84212477152976,1.49000305459201,"Petrol",6.30499748380643,14.4326324276063,2
"99",23,11,5.69215294458828,1.24019279216933,"Petrol",7.20571141006449,14.6950439262901,2
"105",17,11,5.9046599878529,0.740825367893803,"Petrol",7.20571141006449,15.1542640489866,2
"118",23,7,5.43410867776694,5.06201139660952e-05,"Petrol",7.20571141006449,14.4982353022773,2
"121",22,13,5.75286924266388,2.88721944028417,"Petrol",7.20571141006449,14.6294410516191,2
"122",23,19,6.05645073304193,2.5866372035535,"Diesel",9.00713926258061,16.4663215424054,1
"128",21,20,5.00909459123768,1.77170398881333,"Petrol",6.30499748380643,14.5638381769482,2
"140",20,20,6.04127165852302,1.16426262122019,"Petrol",7.20571141006449,14.826249675632,2
"142",15,19,7.27077669455409,1.09764655124081,"Petrol",8.10642533632255,15.5478812970123,2
"146",23,16,4.99391551671878,1.01771739128834,"Petrol",6.30499748380643,14.5638381769482,2
"148",12,13,7.43774651426201,1.01179483795431,"Petrol",7.20571141006449,14.826249675632,2
"1",0.0701553768833885
